"","lat","lng","type","distance","site","state","latitude","longitude"
"54",28.8448733,-96.4641909,"Essential Services",16527.3516514534,"1013810","Texas",28.8020724137921,-96.626458945021
"55",28.631166,-96.63167,"Essential Services",19032.0157862114,"1013810","Texas",28.8020724137921,-96.626458945021
"56",28.9039483,-96.789499,"Essential Services",19527.1727870893,"1013810","Texas",28.8020724137921,-96.626458945021
"57",28.9766039,-96.649518,"Essential Services",19558.3160343964,"1013810","Texas",28.8020724137921,-96.626458945021
"58",28.6149968,-96.6260892,"Essential Services",20825.1933568278,"1013810","Texas",28.8020724137921,-96.626458945021
"59",28.7325594,-96.4248358,"Essential Services",21141.5466718095,"1013810","Texas",28.8020724137921,-96.626458945021
"60",28.6767073,-96.4520582,"Essential Services",22012.032451181,"1013810","Texas",28.8020724137921,-96.626458945021
"61",28.6034963,-96.6347538,"Essential Services",22120.2240899622,"1013810","Texas",28.8020724137921,-96.626458945021
"62",28.6889631,-96.8240833,"Essential Services",23034.3087293456,"1013810","Texas",28.8020724137921,-96.626458945021
"63",28.721211,-96.874075,"Essential Services",25785.9771817184,"1013810","Texas",28.8020724137921,-96.626458945021
"64",28.7726305,-96.9047654,"Essential Services",27349.177369896,"1013810","Texas",28.8020724137921,-96.626458945021
"65",28.5597599,-96.5431253,"Essential Services",28175.1107467192,"1013810","Texas",28.8020724137921,-96.626458945021
"66",29.0414278,-96.5128321,"Essential Services",28853.5209001058,"1013810","Texas",28.8020724137921,-96.626458945021
"67",28.6476254,-96.8938401,"Essential Services",31255.4306871709,"1013810","Texas",28.8020724137921,-96.626458945021
"68",28.822132,-96.6184057,"Essential Services",2367.15149351646,"1013810","Texas",28.8020724137921,-96.626458945021
"69",28.7911784,-96.6700159,"Essential Services",4418.7886573554,"1013810","Texas",28.8020724137921,-96.626458945021
"70",28.839808,-96.5426576,"Essential Services",9189.49319313296,"1013810","Texas",28.8020724137921,-96.626458945021
"71",28.6767176,-96.5559556,"Essential Services",15559.0031812154,"1013810","Texas",28.8020724137921,-96.626458945021
"72",28.844561,-96.4641351,"Essential Services",16522.5999804789,"1013810","Texas",28.8020724137921,-96.626458945021
"73",28.903799,-96.7885664,"Essential Services",19443.5470493303,"1013810","Texas",28.8020724137921,-96.626458945021
"74",28.982292,-96.6575963,"Essential Services",20290.1869788213,"1013810","Texas",28.8020724137921,-96.626458945021
"75",28.6170127,-96.6421835,"Essential Services",20657.8810116049,"1013810","Texas",28.8020724137921,-96.626458945021
"76",28.6916123,-96.8271668,"Essential Services",23128.5626013975,"1013810","Texas",28.8020724137921,-96.626458945021
"77",28.8476809,-96.8894121,"Essential Services",26142.6978552365,"1013810","Texas",28.8020724137921,-96.626458945021
"78",29.0385506,-96.5123981,"Essential Services",28574.4939393315,"1013810","Texas",28.8020724137921,-96.626458945021
"79",28.8597097,-96.3398754,"Essential Services",28674.9677861644,"1013810","Texas",28.8020724137921,-96.626458945021
"80",28.6484164,-96.8925543,"Essential Services",31102.0892313265,"1013810","Texas",28.8020724137921,-96.626458945021
"81",28.8394332,-96.5424743,"Essential Services",9186.44587879726,"1013810","Texas",28.8020724137921,-96.626458945021
"82",28.6776646,-96.5547476,"Essential Services",15517.3391182935,"1013810","Texas",28.8020724137921,-96.626458945021
"83",28.9765303,-96.6489566,"Essential Services",19543.9625888113,"1013810","Texas",28.8020724137921,-96.626458945021
"84",28.9775972,-96.646733,"Essential Services",19638.9940525097,"1013810","Texas",28.8020724137921,-96.626458945021
"85",28.6160472,-96.6268907,"Essential Services",20708.2749794176,"1013810","Texas",28.8020724137921,-96.626458945021
"86",28.6127723,-96.6261112,"Essential Services",21072.8196267216,"1013810","Texas",28.8020724137921,-96.626458945021
"87",28.8438013,-96.4641371,"Essential Services",16498.4581526405,"1013810","Texas",28.8020724137921,-96.626458945021
"88",28.9775552,-96.6469257,"Essential Services",19636.2415079468,"1013810","Texas",28.8020724137921,-96.626458945021
"89",28.9781726,-96.6477259,"Essential Services",19712.6634636235,"1013810","Texas",28.8020724137921,-96.626458945021
"90",28.9806321,-96.6485286,"Essential Services",19993.219774184,"1013810","Texas",28.8020724137921,-96.626458945021
"91",28.6158083,-96.6268056,"Essential Services",20734.8539237001,"1013810","Texas",28.8020724137921,-96.626458945021
"92",28.6128278,-96.626129,"Essential Services",21066.6386736999,"1013810","Texas",28.8020724137921,-96.626458945021
"93",28.6120896,-96.6252929,"Essential Services",21149.0965261098,"1013810","Texas",28.8020724137921,-96.626458945021
"94",29.0400307,-96.5135688,"Essential Services",28682.3874958017,"1013810","Texas",28.8020724137921,-96.626458945021
"95",29.0412087,-96.5131688,"Essential Services",28818.4216946576,"1013810","Texas",28.8020724137921,-96.626458945021
"96",28.9781661,-96.6476448,"Essential Services",19711.1142864887,"1013810","Texas",28.8020724137921,-96.626458945021
"97",28.6159463,-96.6269594,"Essential Services",20719.5218251614,"1013810","Texas",28.8020724137921,-96.626458945021
"98",28.6344488,-96.6286536,"Essential Services",18661.0053629465,"1013810","Texas",28.8020724137921,-96.626458945021
"99",28.6318352,-96.6273107,"Essential Services",18950.9023919268,"1013810","Texas",28.8020724137921,-96.626458945021
"100",28.9735612,-96.6403261,"Essential Services",19137.8319778515,"1013810","Texas",28.8020724137921,-96.626458945021
"101",28.6291612,-96.6393645,"Essential Services",19289.5810059652,"1013810","Texas",28.8020724137921,-96.626458945021
"102",28.6267822,-96.6377617,"Essential Services",19544.3939499037,"1013810","Texas",28.8020724137921,-96.626458945021
"103",28.9780513,-96.6457325,"Essential Services",19679.7405330775,"1013810","Texas",28.8020724137921,-96.626458945021
"104",28.6204101,-96.6391754,"Essential Services",20260.6321304061,"1013810","Texas",28.8020724137921,-96.626458945021
"105",28.9830022,-96.6500028,"Essential Services",20271.3051485957,"1013810","Texas",28.8020724137921,-96.626458945021
"106",28.9842019,-96.649155,"Essential Services",20394.8736391872,"1013810","Texas",28.8020724137921,-96.626458945021
"107",28.9846011,-96.6497395,"Essential Services",20445.2939937712,"1013810","Texas",28.8020724137921,-96.626458945021
"108",28.9850405,-96.6498507,"Essential Services",20495.1085500445,"1013810","Texas",28.8020724137921,-96.626458945021
"109",28.9850446,-96.6498726,"Essential Services",20495.7996536198,"1013810","Texas",28.8020724137921,-96.626458945021
"110",28.6165724,-96.6281982,"Essential Services",20650.4652813736,"1013810","Texas",28.8020724137921,-96.626458945021
"111",28.615767,-96.6407731,"Essential Services",20786.4591195203,"1013810","Texas",28.8020724137921,-96.626458945021
"112",28.6157439,-96.6411655,"Essential Services",20791.6354942978,"1013810","Texas",28.8020724137921,-96.626458945021
"113",28.6100238,-96.6489044,"Essential Services",21490.7862286188,"1013810","Texas",28.8020724137921,-96.626458945021
"114",28.6002513,-96.6367345,"Essential Services",22489.0161017484,"1013810","Texas",28.8020724137921,-96.626458945021
"115",29.0404812,-96.5135121,"Essential Services",28730.8155895427,"1013810","Texas",28.8020724137921,-96.626458945021
"116",29.0405031,-96.513449,"Essential Services",28735.4225212536,"1013810","Texas",28.8020724137921,-96.626458945021
"117",36.7848161,-96.6614224,"Essential Services",7754.66480589146,"1010975","Oklahoma",36.82491,-96.73257
"118",36.7648674,-96.8597638,"Essential Services",13161.8635370453,"1010975","Oklahoma",36.82491,-96.73257
"119",36.8205473,-96.8879423,"Essential Services",13853.8244640159,"1010975","Oklahoma",36.82491,-96.73257
"120",36.9376898,-96.6502847,"Essential Services",14536.1870912868,"1010975","Oklahoma",36.82491,-96.73257
"121",36.5739721,-96.7040632,"Essential Services",28049.912869481,"1010975","Oklahoma",36.82491,-96.73257
"122",36.8078197,-97.048983,"Essential Services",28262.1736095005,"1010975","Oklahoma",36.82491,-96.73257
"123",36.8815682,-97.0553294,"Essential Services",29433.4861828594,"1010975","Oklahoma",36.82491,-96.73257
"124",36.7326711,-97.0499299,"Essential Services",30101.7184074677,"1010975","Oklahoma",36.82491,-96.73257
"125",36.6808186,-97.0377521,"Essential Services",31594.3134665577,"1010975","Oklahoma",36.82491,-96.73257
"126",36.7796568,-96.6614987,"Essential Services",8093.6963002321,"1010975","Oklahoma",36.82491,-96.73257
"127",36.764597,-96.8606812,"Essential Services",13247.6260143751,"1010975","Oklahoma",36.82491,-96.73257
"128",36.6982746,-96.7245091,"Essential Services",14115.3063082615,"1010975","Oklahoma",36.82491,-96.73257
"129",36.573677,-96.7035162,"Essential Services",28087.0938712023,"1010975","Oklahoma",36.82491,-96.73257
"130",36.8821266,-97.0539475,"Essential Services",29326.6002628631,"1010975","Oklahoma",36.82491,-96.73257
"131",36.7260735,-97.0659504,"Essential Services",31696.8342009743,"1010975","Oklahoma",36.82491,-96.73257
"132",36.7819849,-96.6611377,"Essential Services",7960.62006133218,"1010975","Oklahoma",36.82491,-96.73257
"133",36.8830047,-97.0310365,"Essential Services",27360.9101041779,"1010975","Oklahoma",36.82491,-96.73257
"134",36.5733121,-96.7035908,"Essential Services",28126.928598796,"1010975","Oklahoma",36.82491,-96.73257
"135",36.8827797,-97.0539032,"Essential Services",29338.5070152073,"1010975","Oklahoma",36.82491,-96.73257
"136",36.882573,-97.0545804,"Essential Services",29392.3630915338,"1010975","Oklahoma",36.82491,-96.73257
"137",36.8819491,-97.0532682,"Essential Services",29263.2778607772,"1010975","Oklahoma",36.82491,-96.73257
"138",36.8811144,-97.0542486,"Essential Services",29328.7225517988,"1010975","Oklahoma",36.82491,-96.73257
"139",36.8811126,-97.0543456,"Essential Services",29337.1216007402,"1010975","Oklahoma",36.82491,-96.73257
"140",36.8754076,-97.0651799,"Essential Services",30156.9594754373,"1010975","Oklahoma",36.82491,-96.73257
"141",36.6976587,-96.7260341,"Essential Services",14177.5371267836,"1010975","Oklahoma",36.82491,-96.73257
"142",36.7806069,-96.6615011,"Essential Services",8028.09478343627,"1010975","Oklahoma",36.82491,-96.73257
"143",36.5737138,-96.7039975,"Essential Services",28079.080638636,"1010975","Oklahoma",36.82491,-96.73257
"144",36.8794405,-97.0538359,"Essential Services",29253.8817558759,"1010975","Oklahoma",36.82491,-96.73257
"145",36.8819377,-97.0534347,"Essential Services",29277.4825203133,"1010975","Oklahoma",36.82491,-96.73257
"146",36.8822314,-97.0534178,"Essential Services",29283.0663275493,"1010975","Oklahoma",36.82491,-96.73257
